id,name,x,y,z
451,mL2_H-65,2142,2011,-223.0
452,mL2_H-66,2043,2013,-223.0
453,mL2_H-67,2023,2057,-223.0
454,mL2_H-68,2028,2246,-223.0
455,mL2_H-69,2125,2252,-223.0
456,mL2_H-7,2385,2035,-223.0
457,mL2_H-70,1185,1889,-223.0
458,mL2_H-71,2985,1928,-223.0
459,mL2_H-8,1787,2002,-223.0
460,mL2_H-9,1955,1788,-223.0
461,mL2_L-1,2101,706,-230.0
462,mL2_L-10,1693,1879,-230.0
463,mL2_L-11,1842,1942,-230.0
464,mL2_L-12,1966,1838,-230.0
465,mL2_L-13,1955,1815,-230.0
466,mL2_L-14,1959,1665,-230.0
467,mL2_L-15,2080,1573,-230.0
468,mL2_L-16,2251,1649,-230.0
469,mL2_L-17,2251,1847,-230.0
470,mL2_L-18,1970,1921,-230.0
471,mL2_L-19,2228,1945,-230.0
472,mL2_L-2,2093,2111,-230.0
473,mL2_L-20,1509,893,-230.0
474,mL2_L-21,1980,1955,-230.0
475,mL2_L-22,2214,1979,-230.0
476,mL2_L-23,2162,2222,-230.0
477,mL2_L-24,2020,2231,-230.0
478,mL2_L-25,2699,893,-230.0
479,mL2_L-26,2634,2186,-230.0
480,mL2_L-27,2820,2025,-230.0
481,mL2_L-28,2953,1968,-230.0
482,mL2_L-29,1266,1961,-230.0
483,mL2_L-3,2085,2185,-230.0
484,mL2_L-30,1191,1924,-230.0
485,mL2_L-31,1174,1494,-230.0
486,mL2_L-32,1203,1752,-230.0
487,mL2_L-33,1232,1790,-230.0
488,mL2_L-34,1234,1873,-230.0
489,mL2_L-35,1249,1857,-230.0
490,mL2_L-36,1419,2043,-230.0
491,mL2_L-37,1441,2027,-230.0
492,mL2_L-38,1502,2081,-230.0
493,mL2_L-39,1533,2180,-230.0
494,mL2_L-4,1711,2357,-230.0
495,mL2_L-40,2955,1809,-230.0
496,mL2_L-41,2932,1804,-230.0
497,mL2_L-42,2990,1716,-230.0
498,mL2_L-43,2954,1730,-230.0
499,mL2_L-44,1844,808,-230.0
500,mL2_L-45,2409,812,-230.0
501,mL2_L-46,1281,1249,-230.0
502,mL2_L-47,1263,1226,-230.0
503,mL2_L-48,1215,1387,-230.0
504,mL2_L-49,1271,1337,-230.0
505,mL2_L-5,2519,2360,-230.0
506,mL2_L-50,1237,1583,-230.0
507,mL2_L-51,2950,1677,-230.0
508,mL2_L-52,1377,1086,-230.0
509,mL2_L-53,1395,1026,-230.0
510,mL2_L-54,1240,1419,-230.0
511,mL2_L-55,2852,1055,-230.0
512,mL2_L-56,2860,1141,-230.0
513,mL2_L-57,2956,1511,-230.0
514,mL2_L-58,3012,1515,-230.0
515,mL2_L-59,2264,1899,-230.0
516,mL2_L-6,1569,2047,-230.0
517,mL2_L-60,1933,1886,-230.0
518,mL2_L-61,2591,876,-230.0
519,mL2_L-62,1654,867,-230.0
520,mL2_L-63,2904,1209,-230.0
521,mL2_L-64,2924,1156,-230.0
522,mL2_L-65,2780,2044,-230.0
523,mL2_L-66,1366,2035,-230.0
524,mL2_L-7,2609,2103,-230.0
525,mL2_L-8,2492,1852,-230.0
526,mL2_L-9,2321,1944,-230.0
527,mL3-L4-1,2093,755,-275.0
528,mL3-L4-10,1647,1777,-275.0
529,mL3-L4-11,1660,1955,-275.0
530,mL3-L4-12,2556,2007,-275.0
531,mL3-L4-13,2694,1996,-275.0
532,mL3-L4-14,2854,2001,-275.0
533,mL3-L4-15,2786,1986,-275.0
534,mL3-L4-16,2832,1857,-275.0
535,mL3-L4-17,2948,1808,-275.0
536,mL3-L4-18,2689,960,-275.0
537,mL3-L4-19,2761,1004,-275.0
538,mL3-L4-2,2093,2139,-275.0
539,mL3-L4-20,2747,1077,-275.0
540,mL3-L4-21,2592,2100,-275.0
541,mL3-L4-22,1597,2058,-275.0
542,mL3-L4-23,1353,1970,-275.0
543,mL3-L4-24,1417,1942,-275.0
544,mL3-L4-25,1257,1760,-275.0
545,mL3-L4-27,1513,985,-275.0
546,mL3-L4-28,1416,1045,-275.0
547,mL3-L4-29,1433,1111,-275.0
