id,name,x,y,z,x1,y1,z1,x2,y2,z2
274,mL1_L-4,-218.0900236,263.3544673,-194,1828,1516,194,873,1516,194
275,mL1_L-40,-422.1009522,108.6849441,-194,754,2932,194,1947,2932,194
276,mL1_L-41,-436.3883625,139.9178875,-194,971,3031,194,1730,3031,194
277,mL1_L-42,-299.9934339,72.3018876,-194,501,2084,194,2200,2084,194
278,mL1_L-43,-287.2012177,92.40394163,-194,641,1995,194,2060,1995,194
279,mL1_L-44,-278.7284511,100.8767082,-194,700,1937,194,2001,1937,194
280,mL1_L-45,-264.9394388,94.72979912,-194,657,1841,194,2044,1841,194
281,mL1_L-46,-291.1884019,62.5000596,-194,433,2023,194,2268,2023,194
282,mL1_L-47,-199.6492964,84.76183845,-194,588,1387,194,2113,1387,194
283,mL1_L-48,-231.0483725,84.59570577,-194,586,1606,194,2115,1606,194
284,mL1_L-49,-228.5563823,79.11332739,-194,548,1588,194,2153,1588,194
285,mL1_L-5,-223.2401367,261.5270078,-194,1815,1551,194,886,1551,194
286,mL1_L-50,-247.9939057,85.26023648,-194,591,1723,194,2110,1723,194
287,mL1_L-51,-274.5751341,104.8638925,-194,727,1908,194,1974,1908,194
288,mL1_L-52,-278.1201136,114.4835475,-194,794,1932,194,1907,1932,194
289,mL1_L-53,-275.9041956,131.445121,-194,912,1917,194,1789,1917,194
290,mL1_L-54,-239.0227411,89.41355343,-194,620,1661,194,2081,1661,194
291,mL1_L-55,-239.0227411,85.75863451,-194,595,1661,194,2106,1661,194
292,mL1_L-56,-308.1339351,63.9952537,-194,443,2141,194,2258,2141,194
293,mL1_L-57,-306.8048737,94.56366645,-194,656,2132,194,2045,2132,194
294,mL1_L-58,-318.2680285,98.88311607,-194,686,2211,194,2015,2211,194
295,mL1_L-59,-326.9069277,100.8767082,-194,700,2271,194,2001,2271,194
296,mL1_L-6,-259.7893258,272.1594992,-194,1889,1805,194,812,1805,194
297,mL1_L-60,-334.0506329,93.06847234,-194,645,2321,194,2056,2321,194
298,mL1_L-61,-383.0597729,67.15177458,-194,465,2661,194,2236,2661,194
299,mL1_L-62,-380.6984881,75.12037673,-194,521,2645,194,2180,2645,194
300,mL1_L-63,-369.2707606,80.11012346,-194,555,2565,194,2146,2565,194
301,mL1_L-64,-356.3124117,81.27305221,-194,563,2475,194,2138,2475,194
302,mL1_L-65,-357.1430751,84.09730773,-194,583,2481,194,2118,2481,194
303,mL1_L-66,-362.1270554,86.09089987,-194,597,2516,194,2104,2516,194
304,mL1_L-67,-337.7055518,110.0140055,-194,763,2346,194,1938,2346,194
305,mL1_L-68,-321.9229474,136.7613667,-194,949,2237,194,1752,2237,194
306,mL1_L-69,-317.6034977,110.3462709,-194,765,2207,194,1936,2207,194
307,mL1_L-7,-351.9929621,273.3224279,-194,1897,2445,194,804,2445,194
308,mL1_L-70,-322.4213454,102.8703003,-194,713,2240,194,1988,2240,194
309,mL1_L-71,-248.6584364,104.0332291,-194,721,1728,194,1980,1728,194
310,mL1_L-72,-267.929827,100.7105755,-194,698,1862,194,2003,1862,194
311,mL1_L-73,-318.1018958,141.4130816,-194,981,2210,194,1720,2210,194
312,mL1_L-74,-307.9678024,148.5567868,-194,1031,2140,194,1670,2140,194
313,mL1_L-75,-296.338515,150.8826443,-194,1047,2059,194,1654,2059,194
314,mL1_L-76,-279.8913798,138.9210915,-194,964,1945,194,1737,1945,194
315,mL1_L-77,-300.4918319,155.8666246,-194,1081,2088,194,1620,2088,194
316,mL1_L-78,-297.335311,161.6812683,-194,1122,2066,194,1579,2066,194
317,mL1_L-79,-314.9453749,154.2052978,-194,1070,2188,194,1631,2188,194
318,mL1_L-8,-388.5421512,259.865681,-194,1804,2699,194,897,2699,194
319,mL1_L-80,-289.6932078,108.0204134,-194,749,2013,194,1952,2013,194
320,mL1_L-81,-307.4694044,109.5156075,-194,760,2136,194,1941,2136,194
321,mL1_L-82,-307.8016697,99.87991214,-194,693,2139,194,2008,2139,194
322,mL1_L-83,-289.1948098,101.3751062,-194,703,2009,194,1998,2009,194
323,mL1_L-84,-419.608962,202.0515091,-194,1402,2915,194,1299,2915,194
324,mL1_L-85,-424.260677,193.2464772,-194,1341,2947,194,1360,2947,194
325,mL1_L-86,-378.0757925,84.09730773,-194,583,2627,194,2118,2627,194
326,mL1_L-87,-383.5581709,82.1037156,-194,569,2665,194,2132,2665,194
327,mL1_L-88,-402.8295615,92.07167628,-194,638,2798,194,2063,2798,194
328,mL1_L-89,-413.6281856,103.3686984,-194,717,2873,194,1984,2873,194
329,mL1_L-9,-392.1970702,260.8624771,-194,1811,2725,194,890,2725,194
330,mL1_L-90,-432.7334436,142.0776123,-194,986,3006,194,1715,3006,194
331,mL1_L-91,-432.0689129,154.8698286,-194,1074,3001,194,1627,3001,194
